condition,task,step,accA_est,accB_est,syn_load,drift
no_sleep,B,9000,0.513672,0.433594,6.150122,0.026260
no_sleep,B,9100,0.478516,0.439453,6.164514,0.026070
no_sleep,B,9200,0.513672,0.443359,6.407693,0.025994
no_sleep,B,9300,0.523438,0.445312,6.737603,0.024773
no_sleep,B,9400,0.533203,0.513672,6.067258,0.025251
no_sleep,B,9500,0.513672,0.478516,6.016105,0.024975
no_sleep,B,9600,0.564453,0.464844,6.086135,0.026191
no_sleep,B,9700,0.474609,0.478516,6.192339,0.025374
no_sleep,B,9800,0.525391,0.439453,5.149872,0.024398
no_sleep,B,9900,0.494141,0.414062,5.428653,0.027020
no_sleep,B,10000,0.511719,0.482422,6.993873,0.026148
